tipo,qtd,caso,tempo,comparacoes,copias
a,5000,0,0.036876,12488382,4990
a,5000,1,0.039270,12488382,4990
a,5000,2,0.035830,12488382,4990
a,5000,3,0.034277,12488382,4990
a,5000,4,0.035511,12488382,4990
a,5000,5,0.034869,12488382,4990
a,5000,6,0.038922,12488382,4990
a,5000,7,0.036753,12488382,4990
a,5000,8,0.035823,12488382,4990
a,5000,9,0.037107,12488382,4990
a,10000,0,0.154653,49972661,9989
a,10000,1,0.147244,49972661,9989
a,10000,2,0.147957,49972661,9989
a,10000,3,0.144244,49972661,9989
a,10000,4,0.143629,49972661,9989
a,10000,5,0.148393,49972661,9989
a,10000,6,0.147589,49972661,9989
a,10000,7,0.141732,49972661,9989
a,10000,8,0.145964,49972661,9989
a,10000,9,0.159586,49972661,9989
a,15000,0,0.328329,112454093,14991
a,15000,1,0.326985,112454093,14991
a,15000,2,0.323334,112454093,14991
a,15000,3,0.318851,112454093,14991
a,15000,4,0.328167,112454093,14991
a,15000,5,0.332754,112454093,14991
a,15000,6,0.321839,112454093,14991
a,15000,7,0.332916,112454093,14991
a,15000,8,0.324813,112454093,14991
a,15000,9,0.336302,112454093,14991
c,5000,0,0.034397,12505000,36
c,5000,1,0.038036,12505000,36
c,5000,2,0.039175,12505000,36
c,5000,3,0.037388,12505000,36
c,5000,4,0.033652,12505000,36
c,5000,5,0.034761,12505000,36
c,5000,6,0.034640,12505000,36
c,5000,7,0.035141,12505000,36
c,5000,8,0.034683,12505000,36
c,5000,9,0.035411,12505000,36
c,10000,0,0.141017,50010000,44
c,10000,1,0.143754,50010000,44
c,10000,2,0.160575,50010000,44
c,10000,3,0.142726,50010000,44
c,10000,4,0.141568,50010000,44
c,10000,5,0.149959,50010000,44
c,10000,6,0.142059,50010000,44
c,10000,7,0.144061,50010000,44
c,10000,8,0.152121,50010000,44
c,10000,9,0.150951,50010000,44
c,15000,0,0.335523,112515000,69
c,15000,1,0.335238,112515000,69
c,15000,2,0.346178,112515000,69
c,15000,3,0.351830,112515000,69
c,15000,4,0.345404,112515000,69
c,15000,5,0.340974,112515000,69
c,15000,6,0.317387,112515000,69
c,15000,7,0.305282,112515000,69
c,15000,8,0.327198,112515000,69
c,15000,9,0.336217,112515000,69
d,5000,0,0.020058,6846376,2941
d,5000,1,0.025204,6846376,2941
d,5000,2,0.024583,6846376,2941
d,5000,3,0.023713,6846376,2941
d,5000,4,0.019940,6846376,2941
d,5000,5,0.021097,6846376,2941
d,5000,6,0.023127,6846376,2941
d,5000,7,0.020127,6846376,2941
d,5000,8,0.021682,6846376,2941
d,5000,9,0.024359,6846376,2941
d,10000,0,0.115990,27439420,5880
d,10000,1,0.114466,27439420,5880
d,10000,2,0.110009,27439420,5880
d,10000,3,0.106132,27439420,5880
d,10000,4,0.108659,27439420,5880
d,10000,5,0.103884,27439420,5880
d,10000,6,0.113060,27439420,5880
d,10000,7,0.102432,27439420,5880
d,10000,8,0.100141,27439420,5880
d,10000,9,0.103195,27439420,5880
d,15000,0,0.260548,61790969,8829
d,15000,1,0.265075,61790969,8829
d,15000,2,0.267378,61790969,8829
d,15000,3,0.260977,61790969,8829
d,15000,4,0.250319,61790969,8829
d,15000,5,0.274533,61790969,8829
d,15000,6,0.268738,61790969,8829
d,15000,7,0.258459,61790969,8829
d,15000,8,0.249450,61790969,8829
d,15000,9,0.248203,61790969,8829
