tipo,qtd,caso,tempo,comparacoes,copias
a,5000,0,0.047455,12502499,4995
a,5000,1,0.050116,12502499,4995
a,5000,2,0.051536,12502499,4995
a,5000,3,0.050037,12502499,4995
a,5000,4,0.046584,12502499,4995
a,5000,5,0.053501,12502499,4995
a,5000,6,0.047927,12502499,4995
a,5000,7,0.045275,12502499,4995
a,5000,8,0.047125,12502499,4995
a,5000,9,0.049697,12502499,4995
a,10000,0,0.189754,50004999,9992
a,10000,1,0.182592,50004999,9992
a,10000,2,0.178690,50004999,9992
a,10000,3,0.177957,50004999,9992
a,10000,4,0.183678,50004999,9992
a,10000,5,0.179246,50004999,9992
a,10000,6,0.185132,50004999,9992
a,10000,7,0.190981,50004999,9992
a,10000,8,0.181993,50004999,9992
a,10000,9,0.177917,50004999,9992
a,15000,0,0.425297,112507499,14986
a,15000,1,0.464764,112507499,14986
a,15000,2,0.483194,112507499,14986
a,15000,3,0.500939,112507499,14986
a,15000,4,0.445075,112507499,14986
a,15000,5,0.444939,112507499,14986
a,15000,6,0.411482,112507499,14986
a,15000,7,0.449425,112507499,14986
a,15000,8,0.431097,112507499,14986
a,15000,9,0.417283,112507499,14986
c,5000,0,0.047993,12502499,0
c,5000,1,0.048099,12502499,0
c,5000,2,0.043750,12502499,0
c,5000,3,0.045337,12502499,0
c,5000,4,0.045467,12502499,0
c,5000,5,0.046940,12502499,0
c,5000,6,0.045284,12502499,0
c,5000,7,0.044628,12502499,0
c,5000,8,0.047780,12502499,0
c,5000,9,0.044564,12502499,0
c,10000,0,0.185066,50004999,0
c,10000,1,0.191186,50004999,0
c,10000,2,0.179505,50004999,0
c,10000,3,0.179834,50004999,0
c,10000,4,0.180255,50004999,0
c,10000,5,0.182633,50004999,0
c,10000,6,0.194353,50004999,0
c,10000,7,0.184530,50004999,0
c,10000,8,0.179412,50004999,0
c,10000,9,0.187847,50004999,0
c,15000,0,0.425855,112507499,0
c,15000,1,0.417825,112507499,0
c,15000,2,0.407347,112507499,0
c,15000,3,0.442574,112507499,0
c,15000,4,0.421506,112507499,0
c,15000,5,0.446080,112507499,0
c,15000,6,0.440860,112507499,0
c,15000,7,0.415914,112507499,0
c,15000,8,0.419385,112507499,0
c,15000,9,0.426751,112507499,0
d,5000,0,0.048569,12502499,2716
d,5000,1,0.051314,12502499,2716
d,5000,2,0.047137,12502499,2716
d,5000,3,0.053008,12502499,2716
d,5000,4,0.048516,12502499,2716
d,5000,5,0.047043,12502499,2716
d,5000,6,0.048191,12502499,2716
d,5000,7,0.049546,12502499,2716
d,5000,8,0.048385,12502499,2716
d,5000,9,0.049297,12502499,2716
d,10000,0,0.206220,50004999,5394
d,10000,1,0.195949,50004999,5394
d,10000,2,0.202701,50004999,5394
d,10000,3,0.206652,50004999,5394
d,10000,4,0.194746,50004999,5394
d,10000,5,0.205198,50004999,5394
d,10000,6,0.199555,50004999,5394
d,10000,7,0.209814,50004999,5394
d,10000,8,0.205946,50004999,5394
d,10000,9,0.206225,50004999,5394
d,15000,0,0.478073,112507499,8150
d,15000,1,0.471038,112507499,8150
d,15000,2,0.468137,112507499,8150
d,15000,3,0.478097,112507499,8150
d,15000,4,0.488347,112507499,8150
d,15000,5,0.488461,112507499,8150
d,15000,6,0.501953,112507499,8150
d,15000,7,0.518304,112507499,8150
d,15000,8,0.508104,112507499,8150
d,15000,9,0.493774,112507499,8150
